"","accession","isolate","collection.date.formatted","collection.date.decimal","iso.country.code","iso.country","iso.subdivision.code","iso.subdivision.name","genotype","host.class","host.order","host.genus","host.species","isolation.source","seq.length","full.length","seq.technology","title","pubmed.id_1","citation_1","region","moltype","pubmed.id_2","pubmed.id_3","pubmed.id_4","pubmed.id_5","pubmed.id_6","citation_2","citation_3","citation_4","citation_5","citation_6","notes","genbank.createdate","is.europe","segment","flags"
"679","MN395370",NA,2018-08-14,2018.61643835616,"CZ","Czech Republic","31","Jihocesky kraj",NA,"Insecta","Diptera","Culex","pipiens","mosquito pool sample",1914,"partial","Sanger dideoxy sequencing","Usutu virus strain 2Cx_136 polyprotein gene, partial cds",31744087,"Microorganisms 7 (11), E568 (2019)","Lomnice nad Luznici","rna",NA,NA,NA,NA,NA,"Submitted (29-AUG-2019) Institute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, Ceske Budejovice 370 05, Czech Republic",NA,NA,NA,NA,NA,2019-12-04,"European",NA,""
"680","MN395369",NA,2018-08-14,2018.61643835616,"CZ","Czech Republic","31","Jihocesky kraj",NA,"Insecta","Diptera","Culex","pipiens","mosquito pooled sample",3027,"partial","Sanger dideoxy sequencing","Usutu virus strain 2Cx136 polyprotein gene, partial cds",31744087,"Microorganisms 7 (11), E568 (2019)","Lomnice nad Luznici","rna",NA,NA,NA,NA,NA,"Submitted (28-AUG-2019) Institute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, Ceske Budejovice 370 05, Czech Republic",NA,NA,NA,NA,NA,2019-12-04,"European",NA,""
"681","MN384964",NA,2018-07-24,2018.55890410959,"CZ","Czech Republic","64","Jihomoravsky kraj",NA,"Aves","Passeriformes","Turdus","merula","brain tissue",3027,"partial","Sanger dideoxy sequencing","Usutu virus strain 001TM10VALT polyprotein gene, partial cds",31744087,"Microorganisms 7 (11), E568 (2019)","Breclav","rna",NA,NA,NA,NA,NA,"Submitted (27-AUG-2019) Institute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, Ceske Budejovice 370 05, Czech Republic",NA,NA,NA,NA,NA,2019-12-04,"European",NA,""
"682","MK598474",NA,2018-08-01,2018.58082191781,"HU","Hungary","BU","Budapest",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain HU-42390/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Budapest","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"683","MK598473",NA,2018-09-04,2018.67397260274,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","philomelos","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N88/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Pottschach","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"684","MK598472",NA,2018-08-28,2018.65479452055,"AT","Austria","6","Steiermark",NA,"Aves","Passeriformes","Passer","domesticus","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N86/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Ragnitz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"685","MK598471",NA,2018-08-29,2018.65753424658,"AT","Austria","1","Burgenland",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N73/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Mattersburg","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"686","MK598470",NA,2018-08-25,2018.64657534247,"AT","Austria","6","Steiermark",NA,"Aves","Passeriformes","Cyanistes","caeruleus","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N71/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Eggersdorf","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"687","MK598469",NA,2018-08-20,2018.63287671233,"AT","Austria","9","Wien",NA,"Aves","Passeriformes","Panurus","biarmicus","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain 1805/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Vienna","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"688","MK598468",NA,2018-08-16,2018.62191780822,"AT","Austria","6","Steiermark",NA,"Aves","Passeriformes","Turdus","philomelos","pooled brain, spleen + liver",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N57/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Ragnitz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"689","MK598467",NA,2018-08-16,2018.62191780822,"AT","Austria","1","Burgenland",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N56/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Bad Sauerbrunn","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"690","MK598466",NA,2018-08-14,2018.61643835616,"AT","Austria","9","Wien",NA,"Aves","Passeriformes","Passer","domesticus","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N46/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Vienna","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"691","MK598465",NA,2018-08-09,2018.60273972603,"AT","Austria","9","Wien",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N39/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Vienna","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"692","MK598464",NA,2018-08-09,2018.60273972603,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N37/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Markgrafneusiedl","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"693","MK598463",NA,2018-08-08,2018.6,"AT","Austria","6","Steiermark",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N36/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Graz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"694","MK598462",NA,2018-08-08,2018.6,"AT","Austria","6","Steiermark",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N35/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Graz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"695","MK598461",NA,2018-08-07,2018.59726027397,"AT","Austria","4","Oberosterreich",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N30/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Linz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"696","MK598460",NA,2018-08-03,2018.58630136986,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N25/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Hof am Leithaberge","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"697","MK598459",NA,2018-08-02,2018.58356164384,"AT","Austria","4","Oberosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N24/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Linz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"698","MK598458",NA,2018-08-01,2018.58082191781,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + internal organs",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N23/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Breitensee","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"699","MK598457",NA,2018-08-01,2018.58082191781,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + internal organs",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N22/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Haringsee","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"700","MK598456",NA,2018-08-01,2018.58082191781,"AT","Austria","9","Wien",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N18/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Vienna","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"701","MK598455",NA,2018-07-11,2018.52328767123,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N16/18 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Sankt Poelten","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"702","MK598454",NA,2017-09-01,2017.66575342466,"HU","Hungary","SO","Somogy",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain HU-44068/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Kaposvar","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"703","MK598453",NA,2017-09-01,2017.66575342466,"HU","Hungary","BK","Bacs-Kiskun",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain HU-43063/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Kiskunfelegyhaza","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"704","MK598452",NA,2017-08-01,2017.58082191781,"HU","Hungary","ZA","Zala",NA,"Aves","Passeriformes","Turdus","merula","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain HU-39326/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Zalaegerszeg","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"705","MK598451",NA,2017-08-01,2017.58082191781,"HU","Hungary","BU","Budapest",NA,"Aves","Passeriformes","Passer","montanus ","pooled brain + spleen",701,"partial","Sanger dideoxy sequencing","Usutu virus strain HU-39034/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Budapest","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"706","MK598450",NA,2017-09-14,2017.70136986301,"AT","Austria","6","Steiermark",NA,"Aves","Passeriformes","Turdus","merula","internal organs",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N225/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Graz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"707","MK598449",NA,2017-09-14,2017.70136986301,"AT","Austria","6","Steiermark",NA,"Aves","Passeriformes","Turdus","merula","internal organs",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N224/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Graz","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"708","MK598448",NA,2017-09-14,2017.70136986301,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N223/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Sankt Poelten","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"709","MK598447",NA,2017-09-14,2017.70136986301,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N222/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Sollenau","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"710","MK598446",NA,2017-09-14,2017.70136986301,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N221/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Bruderndorf","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"711","MK598445",NA,2017-09-14,2017.70136986301,"AT","Austria","4","Oberosterreich",NA,"Aves","Passeriformes","Turdus","merula","internal organs",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N219/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Sankt Georgen","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"712","MK598444",NA,2017-09-14,2017.70136986301,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N218/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Voesendorf","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"713","MK598443",NA,2017-08-18,2017.62739726027,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N164/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Koenigstetten","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Europe 2",2019-09-22,"European","NS5",""
"714","MK598442",NA,2017-08-04,2017.58904109589,"AT","Austria","3","Niederosterreich",NA,"Aves","Passeriformes","Turdus","merula","brain",701,"partial","Sanger dideoxy sequencing","Usutu virus strain N78/17 NS5 protein gene, partial cds",31505099,"Transbound Emerg Dis (2019) In press","Stockerau","rna",NA,NA,NA,NA,NA,"Submitted (05-MAR-2019) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2019-09-22,"European","NS5",""
"715","MK419834","USU-BE-Scoter/2018",2018-08-01,2018.58082191781,"BE","Belgium",NA,NA,NA,NA,NA,"Melanitta","nigra",NA,11066,"nflg","Sanger dideoxy sequencing","Usutu virus isolate USU-BE-Scoter/2018, complete genome",NA,"Submitted (18-JAN-2019) Pathology, Veterinary Faculty of Liege, Route du Condroz 502, Liege, Angleur 4031, Belgique",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-14,"European","nflg","subdivision_missing,host_missing"
"716","MK956056","USUV-VL-2017/48975",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-VL-2017/48975 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Doberschuetz","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"717","MK956055","USUV-VD-2018/52423",2018-01-01,2018,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,1066,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-VD-2018/52423 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Dresden","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"718","MK956054","USUV-V_9958",2017-01-01,2017,"DE","Germany","BE","Berlin",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9958 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Berlin","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"719","MK956053","USUV-V_9807",2017-01-01,2017,"DE","Germany","HE","Hessen",NA,"Aves","Passeriformes","Turdus","merula",NA,1066,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9807 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Karben","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"720","MK956052","USUV-V_9526",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9526 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"721","MK956051","USUV-V_9524",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9524 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"722","MK956050","USUV-V_9519",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9519 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"723","MK956049","USUV-V_9512",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9512 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"724","MK956048","USUV-V_9505",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9505 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"725","MK956047","USUV-V_9503",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9503 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
"726","MK956046","USUV-V_9501",2017-01-01,2017,"DE","Germany","SN","Sachsen",NA,"Aves","Passeriformes","Turdus","merula",NA,726,"partial","Sanger dideoxy sequencing","Usutu virus isolate USUV-V_9501 polyprotein, envelope protein region, gene, partial cds",31340516,"Viruses 11 (7), E674 (2019)","Leipzig","rna",NA,NA,NA,NA,NA,"Submitted (21-MAY-2019) Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Suedufer 10, Greifswald 17493, Germany",NA,NA,NA,NA,NA,2019-07-31,"European","envelope","collection.date_resolution"
